group,temp,phi,phip,log10_epsp,kf
0,350.169845,0.06168182,0.001,-3.0,43.45584488
0,350.1688070180836,0.06190013112406329,0.001,-3.0,43.45514257894579
0,350.16609072734377,0.062471428634471284,0.001,-3.0,43.45330473011628
0,350.1633744366039,0.06304272614487928,0.001,-3.0,43.45146688128677
0,350.1622985,0.06326902,0.001,-3.0,43.4507389
0,350.1609834061113,0.06361402365528727,0.001,-3.0,43.45598910491547
0,350.1588057194316,0.06418532116569527,0.001,-3.0,43.46468300989697
0,350.15662803275194,0.06475661867610326,0.001,-3.0,43.47337691487848
0,350.156251,0.06485553,0.001,-3.0,43.47488213
0,350.15490803496465,0.06532791618651126,0.001,-3.0,43.44915916874412
0,350.15328387108525,0.06589921369691926,0.001,-3.0,43.41805016482862
0,350.1517419,0.0664416,0.001,-3.0,43.38851547
0,350.15168775802886,0.06647051120732725,0.001,-3.0,43.38986315095109
0,350.1506178901062,0.06704180871773524,0.001,-3.0,43.41649388841806
0,350.1495480221836,0.06761310622814323,0.001,-3.0,43.44312462588503
0,350.1487721,0.06802744,0.001,-3.0,43.46243858
0,350.14861120392817,0.06818440373855122,0.001,-3.0,43.45865386810314
0,350.14802559398987,0.06875570124895922,0.001,-3.0,43.444878734405115
0,350.1474399840515,0.06932699875936721,0.001,-3.0,43.43110360070709
0,350.1471465,0.06961331,0.001,-3.0,43.42420006
0,350.147042923835,0.0698982962697752,0.001,-3.0,43.41665215672944
0,350.14683528995397,0.07046959378018319,0.001,-3.0,43.40152125814029
0,350.1466276560729,0.0710408912905912,0.001,-3.0,43.38639035955115
0,350.14657,0.07119953,0.001,-3.0,43.38218879
0,350.1466913694707,0.07161218880099919,0.001,-3.0,43.38106827698361
0,350.1468593970913,0.07218348631140718,0.001,-3.0,43.37951700437027
0,350.14702742471195,0.07275478382181517,0.001,-3.0,43.37796573175693
0,350.1470367,0.07278632,0.001,-3.0,43.3778801
0,350.14773238195596,0.07332608133222317,0.001,-3.0,43.40425287283215
0,350.1484687099323,0.07389737884263116,0.001,-3.0,43.43216650532507
0,350.1490826,0.07437368,0.001,-3.0,43.45543861
0,350.1493483485416,0.07446867635303915,0.001,-3.0,43.449029033998514
0,350.1509465307387,0.07503997386344714,0.001,-3.0,43.410482556209935
0,350.15254471293576,0.07561127137385514,0.001,-3.0,43.371936078421356
0,350.1535241,0.07596137,0.001,-3.0,43.34831429
0,350.1545469642355,0.07618256888426314,0.001,-3.0,43.35034752351574
0,350.1571887487688,0.07675386639467113,0.001,-3.0,43.35559882145735
0,350.1598305333021,0.07732516390507913,0.001,-3.0,43.36085011939896
0,350.1608655,0.07754898,0.001,-3.0,43.36290741
0,350.1630618823849,0.07789646141548712,0.001,-3.0,43.37400964066507
0,350.16667297561895,0.07846775892589511,0.001,-3.0,43.392262924024244
0,350.170284068853,0.0790390564363031,0.001,-3.0,43.41051620738342
0,350.1708981,0.0791362,0.001,-3.0,43.41362
0,350.17442644009896,0.0796103539467111,0.001,-3.0,43.37572924987144
0,350.17867765835496,0.08018165145711909,0.001,-3.0,43.3300755305128
0,350.1827049,0.08072285,0.001,-3.0,43.28682709
0,350.18293531883194,0.08075294896752708,0.001,-3.0,43.28871367027839
0,350.18730881453195,0.08132424647793507,0.001,-3.0,43.32452216155831
0,350.19168231023195,0.08189554398834308,0.001,-3.0,43.36033065283824
0,350.1948477,0.08230903,0.001,-3.0,43.38624764
0,350.1959159378092,0.08246684149875107,0.001,-3.0,43.38284411755386
0,350.199783093281,0.08303813900915906,0.001,-3.0,43.37052293744032
0,350.20365024875275,0.08360943651956705,0.001,-3.0,43.358201757326775
0,350.2055844,0.08389517,0.001,-3.0,43.35203934
0,350.2069654479723,0.08418073402997504,0.001,-3.0,43.34890649131554
0,350.2097283634151,0.08475203154038304,0.001,-3.0,43.34263893494973
0,350.2124912788579,0.08532332905079103,0.001,-3.0,43.33637137858393
0,350.2132585,0.08548197,0.001,-3.0,43.33463097
0,350.21420775222396,0.08589462656119902,0.001,-3.0,43.33152102826328
0,350.2155219332725,0.08646592407160701,0.001,-3.0,43.32721550609604
0,350.2168361143211,0.087037221582015,0.001,-3.0,43.3229099839288
0,350.2169117,0.08707008,0.001,-3.0,43.32266235
0,350.2168675328882,0.08760851909242301,0.001,-3.0,43.31735846244338
0,350.21682067046424,0.088179816602831,0.001,-3.0,43.31173090345069
0,350.2167813,0.08865978,0.001,-3.0,43.30700303
0,350.2166349341729,0.088751114113239,0.001,-3.0,43.30855902705292
