temp,phi,phip,kf
350.1663378,0.42659374,0.001,39.92816925
350.1645601,0.42818863,0.001,39.91096306
350.1662872,0.42978048,0.001,39.83702659
350.1710856,0.43137006,0.001,39.83955002
350.1773601,0.4329591,0.001,39.84420967
350.183106,0.43454957,0.001,39.81903839
350.1867294,0.43614296,0.001,39.87346077
350.1874974,0.43773987,0.001,39.79237748
350.1855631,0.43933998,0.001,39.79945182
350.1817441,0.44094216,0.001,39.71710395
350.1771607,0.44254483,0.001,39.72887039
350.1727935,0.44414657,0.001,39.69989777
350.1691419,0.44574664,0.001,39.69003105
350.1662009,0.44734512,0.001,39.59749412
350.1637552,0.44894258,0.001,39.65629387
350.1616874,0.45053958,0.001,39.62038803
350.1599705,0.45213633,0.001,39.6055584
350.1583944,0.45373278,0.001,39.5846157
350.1564175,0.45532886,0.001,39.55129242
350.1533648,0.45692472,0.001,39.50841141
350.1488399,0.45852072,0.001,39.51279068
350.1431662,0.4601172,0.001,39.49780464
350.1376333,0.4617141,0.001,39.50062752
350.1341611,0.46331082,0.001,39.40855027
350.1343258,0.46490664,0.001,39.46521949
350.138453,0.46650121,0.001,39.44031334
350.14556,0.46809472,0.001,39.32263375
350.1540533,0.46968763,0.001,39.40015793
350.1624031,0.47128025,0.001,39.39231682
350.1693277,0.47287274,0.001,39.35424041
350.1737218,0.47446532,0.001,39.32889366
350.1747489,0.47605835,0.001,39.29571343
350.1721392,0.47765221,0.001,39.28058434
350.1664251,0.47924706,0.001,39.26848602
350.1589029,0.48084274,0.001,39.26501846
350.1513223,0.48243879,0.001,39.24545097
350.1454377,0.48403465,0.001,39.18327904
350.1425734,0.4856297,0.001,39.17823219
350.14331,0.48722338,0.001,39.17005539
350.1473205,0.48881547,0.001,39.15091133
350.1533651,0.49040639,0.001,39.13581848
350.159506,0.49199733,0.001,39.12115097
350.163625,0.49358986,0.001,39.08099366
350.1641484,0.49518522,0.001,39.09024811
350.1606204,0.49678381,0.001,39.09570885
350.1537398,0.49838521,0.001,39.0684166
350.144845,0.49998857,0.001,39.02267265
350.135262,0.50159296,0.001,38.95053291
350.1259373,0.50319761,0.001,39.0053463
350.1174258,0.50480189,0.001,38.94231606
350.1100568,0.50640523,0.001,38.96547699
350.1041113,0.50800693,0.001,38.90843772
