group,temp,phi,phip,log10_epsp,kf
0,350.1828858716323,0.020408142743142142,0.001,-3.0,42.268289786655856
0,350.18272466936804,0.020537682119700747,0.001,-3.0,42.281697146250956
0,350.1826626,0.02058756,0.001,-3.0,42.28685952
0,350.1826203371901,0.02066722149625935,0.001,-3.0,42.29939096219084
0,350.18255161267064,0.020796760872817954,0.001,-3.0,42.31976862624446
0,350.1824828881512,0.020926300249376556,0.001,-3.0,42.34014629029808
0,350.1824141636317,0.02105583962593516,0.001,-3.0,42.3605239543517
0,350.1823454391122,0.021185379002493766,0.001,-3.0,42.380901618405325
0,350.1822767145927,0.021314918379052368,0.001,-3.0,42.401279282458944
0,350.18220799007327,0.021444457755610973,0.001,-3.0,42.42165694651257
0,350.18213926555376,0.021573997132169575,0.001,-3.0,42.44203461056619
0,350.1820705410343,0.02170353650872818,0.001,-3.0,42.462412274619815
0,350.1820018165148,0.021833075885286782,0.001,-3.0,42.482789938673434
0,350.18193309199535,0.021962615261845387,0.001,-3.0,42.50316760272706
0,350.18186436747584,0.02209215463840399,0.001,-3.0,42.52354526678068
0,350.1818337,0.02214996,0.001,-3.0,42.53263855
0,350.18182591412494,0.022221694014962594,0.001,-3.0,42.5341297901017
0,350.18181185416466,0.022351233391521196,0.001,-3.0,42.536822714973866
0,350.1817977942044,0.0224807727680798,0.001,-3.0,42.53951563984603
0,350.1817837342441,0.022610312144638402,0.001,-3.0,42.542208564718194
0,350.1817696742838,0.022739851521197008,0.001,-3.0,42.544901489590366
0,350.1817556143235,0.02286939089775561,0.001,-3.0,42.54759441446253
0,350.1817415543632,0.022998930274314214,0.001,-3.0,42.5502873393347
0,350.1817274944029,0.023128469650872816,0.001,-3.0,42.552980264206866
0,350.1817134344426,0.02325800902743142,0.001,-3.0,42.55567318907904
0,350.18169937448226,0.023387548403990023,0.001,-3.0,42.5583661139512
0,350.181685314522,0.023517087780548628,0.001,-3.0,42.56105903882337
0,350.18167125456165,0.02364662715710723,0.001,-3.0,42.56375196369554
0,350.1816637,0.02371623,0.001,-3.0,42.5651989
0,350.18165476137546,0.023776166533665835,0.001,-3.0,42.57009803139403
0,350.181635442543,0.023905705910224437,0.001,-3.0,42.58068640525629
0,350.1816161237105,0.024035245286783042,0.001,-3.0,42.59127477911854
0,350.18159680487804,0.024164784663341644,0.001,-3.0,42.6018631529808
0,350.18157748604557,0.02429432403990025,0.001,-3.0,42.61245152684305
0,350.1815581672131,0.02442386341645885,0.001,-3.0,42.62303990070531
0,350.1815388483806,0.024553402793017456,0.001,-3.0,42.63362827456757
0,350.1815195295481,0.024682942169576057,0.001,-3.0,42.644216648429826
0,350.1815002107156,0.024812481546134663,0.001,-3.0,42.65480502229209
0,350.1814808918831,0.024942020922693264,0.001,-3.0,42.66539339615434
0,350.1814615730506,0.02507156029925187,0.001,-3.0,42.675981770016605
0,350.1814422542181,0.025201099675810475,0.001,-3.0,42.68657014387886
0,350.1814297,0.02528528,0.001,-3.0,42.69345093
0,350.18141693739886,0.025330639052369076,0.001,-3.0,42.69868734239911
0,350.1813804891199,0.02546017842892768,0.001,-3.0,42.71364183465934
0,350.1813440408409,0.025589717805486283,0.001,-3.0,42.72859632691957
0,350.1813075925619,0.02571925718204489,0.001,-3.0,42.7435508191798
0,350.1812711442829,0.02584879655860349,0.001,-3.0,42.75850531144003
0,350.1812346960039,0.025978335935162095,0.001,-3.0,42.77345980370027
