36-1_DIL_202-19_AA6082.asc    T=325∞C    phi∞=0.001    Yield=0.23121452
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
   279        517.68954468    325.19673991     0.42249114     47.23748197
   280        519.29257202    325.19356202     0.42406787     47.21685619
   281        520.89547729    325.18717715     0.42564674     47.19688521
   282        522.49850464    325.17931313     0.42722664     47.17252859
   283        524.10153198    325.17262655     0.42880577     47.14297472
   284        525.70443725    325.16885833     0.43038280     47.11523273
   285        527.30746460    325.16788925     0.43195742     47.09245696
   286        528.91049194    325.16829655     0.43352999     47.07224172
   287        530.51339722    325.16875306     0.43510082     47.05145222
   288        532.11642456    325.16893160     0.43666982     47.02741460
   289        533.71945190    325.16905933     0.43823702     47.00286529
   290        535.32235718    325.16876765     0.43980318     46.98232240
   291        536.92538452    325.16684497     0.44136991     46.96397519
   292        538.52841186    325.16244626     0.44293894     46.94234993
   293        540.13131714    325.15639281     0.44451126     46.91355506
   294        541.73434448    325.15101454     0.44608663     46.88039571
   295        543.33737182    325.14868024     0.44766378     46.85100906
   296        544.94039917    325.15039139     0.44924110     46.82702294
   297        546.54330444    325.15543264     0.45081733     46.80341521
   298        548.14633179    325.16203390     0.45239198     46.77816446
   299        549.74935913    325.16831633     0.45396520     46.75256909
   300        551.35226440    325.17280878     0.45553751     46.72866410
   301        552.95529175    325.17453590     0.45710967     46.70694744
   302        554.55831909    325.17331240     0.45868237     46.68777310
   303        556.16134643    325.17041471     0.46025563     46.67069437
   304        557.76425171    325.16874781     0.46182853     46.65076677
   305        559.36727905    325.17163291     0.46339968     46.62653314
   306        560.97030640    325.18075009     0.46496841     46.60240688
   307        562.57321167    325.19487623     0.46653563     46.58351388
   308        564.17623901    325.21041392     0.46810369     46.57108585
   309        565.77926636    325.22317354     0.46967514     46.55774011
   310        567.38229370    325.23019472     0.47125143     46.53802549
   311        568.98519897    325.23076415     0.47283211     46.51595898
   312        570.58822632    325.22636907     0.47441506     46.49378723
   313        572.19125366    325.21980389     0.47599743     46.46877301
   314        573.79415893    325.21394807     0.47757683     46.44183211
   315        575.39718628    325.21065945     0.47915214     46.41701483
   316        577.00021362    325.21004989     0.48072357     46.39573268
   317        578.60324097    325.21056713     0.48229240     46.37725827
   318        580.20614624    325.21021137     0.48386021     46.36154841
   319        581.80917358    325.20810929     0.48542825     46.34704451
   320        583.41220093    325.20486248     0.48699714     46.32710188
   321        585.01510620    325.20142342     0.48856714     46.30030335
   322        586.61813354    325.19818328     0.49013851     46.27594149
   323        588.22116089    325.19537534     0.49171134     46.25580276
   324        589.82406616    325.19371723     0.49328509     46.23181129
   325        591.42709350    325.19401701     0.49485861     46.20323638
   326        593.03012085    325.19628239     0.49643060     46.17812602
   327        594.63302612    325.19960469     0.49800019     46.15916884
   328        596.23605347    325.20296736     0.49956712     46.14067705
   329        597.83908081    325.20607616     0.50113168     46.12301716
   330        599.44198608    325.20942897     0.50269434     46.10737073
   331        601.04501343    325.21365597     0.50425578     46.08734580
   332        602.64804077    325.21883616     0.50581694     46.06257455
   333        604.25094604    325.22442793     0.50737902     46.04011206
   334        605.85397339    325.22973739     0.50894317     46.02285554
   335        607.45700073    325.23438512     0.51051010     46.00625911
   336        609.05990600    325.23848583     0.51207995     45.98863353
   337        610.66293335    325.24257659     0.51365216     45.97159503
   338        612.26596069    325.24722038     0.51522550     45.95327949
   339        613.86886597    325.25226526     0.51679857     45.93633885
   340        615.47189331    325.25632537     0.51837053     45.92152346
   341        617.07492065    325.25723669     0.51994142     45.90359198
   342        618.67794800    325.25331981     0.52151166     45.88193863
   343        620.28085327    325.24433264     0.52308144     45.85623222
   344        621.88388061    325.23142007     0.52465080     45.82705924
   345        623.48690796    325.21655304     0.52622001     45.79900817
   346        625.08981323    325.20212965     0.52778956     45.77532393
   347        626.69284057    325.19058431     0.52935974     45.75491528
   348        628.29586792    325.18368660     0.53093038     45.73402664
   349        629.89889526    325.18193406     0.53250092     45.71357759
   350        631.50180054    325.18460102     0.53407077     45.69566284
   351        633.10482788    325.19032927     0.53563966     45.67774406
   352        634.70785522    325.19770675     0.53720780     45.65969935
   353        636.31076050    325.20543417     0.53877561     45.64331988
   354        637.91378784    325.21209530     0.54034334     45.62644684
   355        639.51681518    325.21603119     0.54191083     45.60849165
   356        641.11984253    325.21588048     0.54347770     45.59073055
   357        642.72274780    325.21157221     0.54504362     45.57161925
   358        644.32577515    325.20474934     0.54660854     45.55115880
   359        645.92880249    325.19798914     0.54817270     45.53017987
   360        647.53170776    325.19342990     0.54973661     45.50853468
   361        649.13473511    325.19191480     0.55130114     45.48769128
   362        650.73776245    325.19307895     0.55286739     45.46933660
   363        652.34066772    325.19600408     0.55443624     45.45276898
   364        653.94369507    325.19981540     0.55600759     45.43463325
   365        655.54672241    325.20384231     0.55758040     45.41390387
   366        657.14962768    325.20760070     0.55915315     45.39320945
   367        658.75265503    325.21101855     0.56072456     45.37564103
   368        660.35568237    325.21446089     0.56229405     45.36050671
   369        661.95858765    325.21793886     0.56386216     45.34254444
   370        663.56161499    325.22037312     0.56543038     45.32430525
   371        665.16464233    325.22030602     0.56700007     45.31296739
   372        666.76754761    325.21751125     0.56857125     45.30211202
   373        668.37057495    325.21349743     0.57014249     45.28207129
   374        669.97360229    325.21029316     0.57171208     45.25904095
   375        671.57650757    325.20900278     0.57327906     45.24402986
   376        673.17953491    325.20959341     0.57484352     45.23547830
   377        674.78256225    325.21170575     0.57640615     45.22453808
   378        676.38546753    325.21530540     0.57796782     45.20745996
   379        677.98849487    325.22054099     0.57952925     45.18683508
   380        679.59152222    325.22715671     0.58109089     45.16603804
   381        681.19454956    325.23413564     0.58265299     45.14673541
   382        682.79745483    325.23996999     0.58421572     45.12894349
   383        684.40048218    325.24346726     0.58577926     45.11455553
   384        686.00350952    325.24443658     0.58734351     45.10553178
   385        687.60641479    325.24345689     0.58890805     45.09582145
   386        689.20944214    325.24080007     0.59047251     45.08084359
   387        690.81246948    325.23563941     0.59203733     45.06405035
   388        692.41549682    325.22647333     0.59360400     45.04806904
   389        694.01840210    325.21250088     0.59517429     45.03351087
   390        695.62142944    325.19491440     0.59674889     45.01746263
   391        697.22445679    325.17717655     0.59832644     44.99412459
   392        698.82748413    325.16392339     0.59990389     44.96533763
   393        700.43038940    325.15894197     0.60147802     44.94032573
   394        702.03341675    325.16336296     0.60304682     44.92414217
   395        703.63644409    325.17510775     0.60461024     44.91499025
   396        705.23934936    325.18973496     0.60616983     44.90760539
   397        706.84237671    325.20213028     0.60772776     44.89875325
   398        708.44540405    325.20839335     0.60928583     44.89071885
   399        710.04830932    325.20720426     0.61084495     44.88287320
   400        711.65133667    325.19999089     0.61240510     44.86997590
   401        713.25436401    325.18993252     0.61396563     44.85246438
   402        714.85726929    325.18053351     0.61552566     44.83526309
   403        716.46029663    325.17437272     0.61708447     44.81810941
   404        718.06332397    325.17234836     0.61864197     44.80048361
   405        719.66622925    325.17377326     0.62019880     44.78814264
   406        721.26925659    325.17735627     0.62175582     44.78058539
   407        722.87228393    325.18235589     0.62331351     44.76983857
   408        724.47518921    325.18894826     0.62487165     44.75477333
   409        726.07821655    325.19753359     0.62642931     44.73968461
   410        727.68124390    325.20767570     0.62798551     44.72575006
   411        729.28414917    325.21772210     0.62954007     44.71388853
   412        730.88717651    325.22561248     0.63109418     44.70870261
   413        732.49020386    325.23040777     0.63264981     44.71069581
   414        734.09310913    325.23324892     0.63420844     44.70961305
   415        735.69613647    325.23654586     0.63577046     44.69470823
   416        737.29916382    325.24177023     0.63733568     44.67311937
   417        738.90206909    325.24793388     0.63890394     44.66457903
   418        740.50509643    325.25231193     0.64047503     44.67151638
   419        742.10812378    325.25258827     0.64204814     44.67193960
   420        743.71115112    325.24834958     0.64362180     44.64972881
   421        745.31405640    325.24101199     0.64519424     44.61490056
   422        746.91708374    325.23294881     0.64676405     44.58599637
   423        748.52011108    325.22673200     0.64833049     44.56877740
   424        750.12313843    325.22446625     0.64989346     44.55816782
   425        751.72604370    325.22700983     0.65145338     44.55079927
   426        753.32907104    325.23355249     0.65301095     44.54607773
   427        754.93209839    325.24203309     0.65456717     44.54103143
   428        756.53500366    325.25001378     0.65612352     44.53533322
   429        758.13803100    325.25535934     0.65768192     44.53009306
   430        759.74105835    325.25674306     0.65924401     44.52221523
   431        761.34408569    325.25417935     0.66080997     44.50868336
   432        762.94699097    325.24919272     0.66237806     44.48978484
   433        764.55001831    325.24426997     0.66394538     44.46991634
   434        766.15304565    325.24191382     0.66550938     44.45585987
   435        767.75595093    325.24367419     0.66706921     44.44783268
   436        769.35897827    325.24930078     0.66862624     44.44098902
   437        770.96200561    325.25643877     0.67018341     44.43729528
   438        772.56503296    325.26127857     0.67174395     44.43711909
   439        774.16793823    325.25982752     0.67331038     44.43138386
   440        775.77096557    325.24910338     0.67488408     44.41716026
   441        777.37399292    325.22794125     0.67646520     44.39937091
   442        778.97689819    325.19736518     0.67805269     44.37683502
   443        780.57992554    325.16038003     0.67964440     44.34607832
   444        782.18295288    325.12115479     0.68123758     44.31114960
   445        783.78585815    325.28799438     0.68264496     44.35360718
